name,node_type,lat,lon,Monday_mean,Monday_std,Tuesday_mean,Tuesday_std,Wednesday_mean,Wednesday_std,Thursday_mean,Thursday_std,Friday_mean,Friday_std
Csömöri Sportlovarda,travel_agency,47.5449521,19.2166723,10.791666666666666,10.372154897716397,11.083333333333334,11.636568318117769,11.208333333333334,10.598660161653557,16.458333333333332,15.337805054468808,12.708333333333334,12.732763403475653
Harley-Davidson Budapest,store,47.46343770000001,19.009699100000002,23.375,33.96666564442262,25.583333333333332,37.16507844140189,26.166666666666668,37.899721488275986,26.5,38.4642691338338,22.083333333333332,31.505180350045435
Fekete,cafe,47.493574,19.0601201,15.416666666666666,20.550581229952815,14.75,19.292161620720474,13.541666666666666,16.854720324651556,13.5,16.53027525481654,13.541666666666666,17.078200448394895
Horváth Kert Confectionery,store,47.5732188,19.1213704,14.583333333333334,20.1451331315752,13.208333333333334,19.25915186490712,14.375,19.597645479325656,14.666666666666666,19.533447098644817,18.291666666666668,25.348371359035188
Beck and Beck Salvage Yard,car_repair,47.3897001,18.9692187,18.083333333333332,24.867845146337515,14.875,20.988712244124617,22.875,32.86755302219298,16.75,23.215027460677277,19.291666666666668,26.86769926675689
Budapest Zugló 1 posta,post_office,47.5216611,19.1056188,28.208333333333332,34.121082396209076,32.208333333333336,38.973259172868204,31.875,38.7839233231159,33.0,39.88211796448796,29.333333333333332,35.46437962550906
Pet Pharmacy (Hummingbird-raises Bt.),pharmacy,47.4457278,19.1172186,18.916666666666668,29.406513828666526,17.708333333333332,25.717178381169443,14.625,24.1398917768908,13.083333333333334,19.66578387849199,13.291666666666666,20.12560385567488
Lipóti Pékség,bakery,47.4254864,19.0714777,0.0,0.0,14.666666666666666,23.192431715731942,12.333333333333334,19.110788110965547,14.5,22.20547980416846,20.75,29.53423155142746
Pesterzsébet Felső,transit_station,47.4380497,19.0939689,33.875,26.473748790075046,36.541666666666664,28.056459693902145,37.416666666666664,28.906338213078616,36.375,29.62798859749567,35.0,27.351112104141823
Home Autópark,car_repair,47.584458000000005,19.092705,18.041666666666668,22.05009290733765,26.166666666666668,32.71679826769253,27.291666666666668,32.68725435429262,31.375,38.223915397736704,21.083333333333332,25.858455526620734
Ablakemelok.hu,car_repair,47.5144593,19.2913503,31.083333333333332,37.457661284293884,27.75,35.19617640217945,0.0,0.0,30.958333333333332,37.057926689920954,0.0,0.0
Pizza Mágus Pizzázó,restaurant,47.437255,19.1011431,12.25,14.192867927237257,13.958333333333334,15.477077584465212,12.333333333333334,15.643600040343086,15.541666666666666,19.392823343242785,25.916666666666668,33.33031236310609
MOL,gas_station,47.4611364,19.085933899999997,29.166666666666668,30.369483952737088,36.125,36.913539182798495,33.041666666666664,34.65962969443781,37.333333333333336,39.11272881755446,33.916666666666664,35.38704643729899
Presidental Smile,dentist,47.49636629999999,19.0190771,29.875,33.175433305384274,30.208333333333332,35.89797947734044,28.666666666666668,32.827410633324234,21.958333333333332,24.0667113919252,14.666666666666666,18.315900802915
Nádfedeles Csárda,restaurant,47.3881675,19.103021,0.0,0.0,0.0,0.0,13.958333333333334,18.59766823795093,15.875,21.880951571324925,22.708333333333332,26.19395472029546
Várhidi Csempe és Fürdőszoba Szalon,home_goods_store,47.485431,19.282788,22.625,31.168644099479206,22.958333333333332,30.922590402846627,25.0,32.73632029820497,27.041666666666668,36.63841240950389,20.75,28.721725226733856
BAUHAUS SZAKÁRUHÁZ Dunakeszi,department_store,47.609389,19.113506,20.833333333333332,19.995138297985225,23.041666666666668,22.11236299499043,23.458333333333332,22.319608655967865,23.666666666666668,22.191715170806926,23.708333333333332,22.33173968194646
Raj Ráchel Tortaszalon,bakery,47.5159273,19.051564499999998,13.791666666666666,20.930398878717583,14.75,21.10341599520482,16.708333333333332,28.153565740219996,18.375,26.53270387653697,24.375,35.41046514332545
